Tasks in DB:
ID                   | STATE      | STATUS     | ASSIGNED_TO    
----------------------------------------------------------------------
                     | DISPATCHED | creating   | 2              
TASK-ULTRA-NOVA-953  | COMPLETED  | completed  | test-agent     
TASK-SURE-NOVA-728   | COMPLETED  | completed  |                
TASK-BRAVE-LINK-990  | COMPLETED  | completed  |                
TASK-SURE-GLOW-880   | COMPLETED  | completed  |                
TASK-WISE-SPARK-297  | COMPLETED  | completed  |                
TASK-SAFE-NOVA-691   | COMPLETED  | completed  |                
TASK-TRUE-STAR-765   | COMPLETED  | completed  |                
TASK-PRIME-BLAZE-113 | COMPLETED  | completed  |                
TASK-WISE-BLAZE-204  | COMPLETED  | completed  |                
TASK-FAST- SURGE-972 | COMPLETED  | completed  |                
TASK-QUICK-NOVA-071  | COMPLETED  | completed  |                
TASK-SMART-CORE-039  | COMPLETED  | completed  |                
TASK-SURE-BLAZE-083  | COMPLETED  | completed  |                
TASK-WISE- SURGE-226 | COMPLETED  | completed  |                
TASK-SURE-BOLT-211   | COMPLETED  | completed  |                
TASK-SWIFT-BOLT-563  | COMPLETED  | completed  |                
TASK-SHARP-SPARK-033 | COMPLETED  | completed  |                
TASK-PRIME-STAR-551  | COMPLETED  | completed  |                
TASK-COOL-BEAM-967   | COMPLETED  | completed  |                
TASK-SURE- SURGE-687 | COMPLETED  | completed  |                
TASK-BRIGHT-BLAZE-333 | COMPLETED  | completed  |                
TASK-BRIGHT-PULSE-120 | COMPLETED  | completed  |                
TASK-SAFE-STORM-452  | COMPLETED  | completed  |                
TASK-BOLD-BOLT-913   | COMPLETED  | completed  |                
TASK-CALM-BEAM-631   | COMPLETED  | completed  |                
TASK-SURE-FLASH-762  | COMPLETED  | completed  |                
TASK-PRIME-DASH-807  | COMPLETED  | completed  |                
TASK-SAFE-BLAZE-844  | COMPLETED  | completed  |                
TASK-QUICK-ZOOM-927  | COMPLETED  | completed  |                
TASK-GRAND-GLOW-832  | COMPLETED  | completed  |                
TASK-PRIME-LINK-501  | COMPLETED  | completed  |                
TASK-KEEN-PULSE-151  | COMPLETED  | completed  |                
TASK-SAFE-WAVE-262   | COMPLETED  | completed  |                
TASK-FAST-STORM-921  | COMPLETED  | completed  |                
TASK-SMART-SYNC-036  | COMPLETED  | completed  |                
TASK-MEGA-STORM-759  | COMPLETED  | completed  |                
TASK-KEEN-DASH-118   | COMPLETED  | completed  |                
TASK-BRAVE-CORE-525  | COMPLETED  | completed  |                
TASK-BOLD-SYNC-188   | COMPLETED  | completed  |                
TASK-SHARP-FLOW-728  | COMPLETED  | completed  |                
TASK-SMART-CORE-133  | COMPLETED  | completed  |                
TASK-KEEN-NODE-986   | COMPLETED  | completed  |                
TASK-BOLD-FLOW-135   | COMPLETED  | completed  |                
TASK-ULTRA-CORE-005  | COMPLETED  | completed  |                
TASK-COOL-FLASH-393  | COMPLETED  | completed  |                
TASK-GRAND-BOLT-223  | COMPLETED  | completed  |                
